epoch,value,metric,data
1,0.31244152784347534,loss,training
2,0.2960405945777893,loss,training
3,0.28089502453804016,loss,training
4,0.27306586503982544,loss,training
5,0.26192960143089294,loss,training
6,0.24945446848869324,loss,training
7,0.235611692070961,loss,training
8,0.22380530834197998,loss,training
9,0.2104860097169876,loss,training
10,0.19996429979801178,loss,training
11,0.19170032441616058,loss,training
12,0.18861150741577148,loss,training
13,0.18507589399814606,loss,training
14,0.17819970846176147,loss,training
15,0.17684927582740784,loss,training
16,0.17037934064865112,loss,training
17,0.16700099408626556,loss,training
18,0.16271360218524933,loss,training
19,0.15723411738872528,loss,training
20,0.1541290581226349,loss,training
21,0.15894146263599396,loss,training
22,0.15039965510368347,loss,training
23,0.1492614448070526,loss,training
24,0.1432827264070511,loss,training
25,0.14538727700710297,loss,training
26,0.13750799000263214,loss,training
27,0.13345707952976227,loss,training
28,0.14103840291500092,loss,training
29,0.13177017867565155,loss,training
30,0.13264809548854828,loss,training
1,0.17874999344348907,accuracy,training
2,0.2516666650772095,accuracy,training
3,0.30395832657814026,accuracy,training
4,0.31687501072883606,accuracy,training
5,0.34833332896232605,accuracy,training
6,0.3739583194255829,accuracy,training
7,0.41229167580604553,accuracy,training
8,0.43666666746139526,accuracy,training
9,0.46937501430511475,accuracy,training
10,0.48229166865348816,accuracy,training
11,0.49916666746139526,accuracy,training
12,0.5077083110809326,accuracy,training
13,0.5177083611488342,accuracy,training
14,0.5258333086967468,accuracy,training
15,0.5381249785423279,accuracy,training
16,0.5483333468437195,accuracy,training
17,0.5633333325386047,accuracy,training
18,0.5679166913032532,accuracy,training
19,0.5793750286102295,accuracy,training
20,0.5822916626930237,accuracy,training
21,0.5808333158493042,accuracy,training
22,0.5843750238418579,accuracy,training
23,0.5991666913032532,accuracy,training
24,0.606041669845581,accuracy,training
25,0.60958331823349,accuracy,training
26,0.6158333420753479,accuracy,training
27,0.6349999904632568,accuracy,training
28,0.6214583516120911,accuracy,training
29,0.6385416388511658,accuracy,training
30,0.6324999928474426,accuracy,training
1,0.2950271964073181,loss,validation
2,0.2949749231338501,loss,validation
3,0.26280477643013,loss,validation
4,0.2475300133228302,loss,validation
5,0.25956758856773376,loss,validation
6,0.20985321700572968,loss,validation
7,0.18713001906871796,loss,validation
8,0.18055160343647003,loss,validation
9,0.17466005682945251,loss,validation
10,0.18977482616901398,loss,validation
11,0.14902924001216888,loss,validation
12,0.1619410365819931,loss,validation
13,0.15864333510398865,loss,validation
14,0.1306232362985611,loss,validation
15,0.15001706779003143,loss,validation
16,0.1271083503961563,loss,validation
17,0.13950563967227936,loss,validation
18,0.15253226459026337,loss,validation
19,0.12766453623771667,loss,validation
20,0.11561755836009979,loss,validation
21,0.11141978204250336,loss,validation
22,0.12322873622179031,loss,validation
23,0.1268107295036316,loss,validation
24,0.10784471780061722,loss,validation
25,0.1031777635216713,loss,validation
26,0.1055576354265213,loss,validation
27,0.10157828778028488,loss,validation
28,0.13401955366134644,loss,validation
29,0.11875995993614197,loss,validation
30,0.10797115415334702,loss,validation
1,0.25999999046325684,accuracy,validation
2,0.30166667699813843,accuracy,validation
3,0.3566666543483734,accuracy,validation
4,0.4000000059604645,accuracy,validation
5,0.3824999928474426,accuracy,validation
6,0.46916666626930237,accuracy,validation
7,0.5350000262260437,accuracy,validation
8,0.5274999737739563,accuracy,validation
9,0.550000011920929,accuracy,validation
10,0.5141666531562805,accuracy,validation
11,0.6066666841506958,accuracy,validation
12,0.5475000143051147,accuracy,validation
13,0.5625,accuracy,validation
14,0.6349999904632568,accuracy,validation
15,0.5983333587646484,accuracy,validation
16,0.653333306312561,accuracy,validation
17,0.6183333396911621,accuracy,validation
18,0.5824999809265137,accuracy,validation
19,0.6566666960716248,accuracy,validation
20,0.659166693687439,accuracy,validation
21,0.6816666722297668,accuracy,validation
22,0.653333306312561,accuracy,validation
23,0.6458333134651184,accuracy,validation
24,0.7141666412353516,accuracy,validation
25,0.690833330154419,accuracy,validation
26,0.7200000286102295,accuracy,validation
27,0.6974999904632568,accuracy,validation
28,0.6541666388511658,accuracy,validation
29,0.6675000190734863,accuracy,validation
30,0.7225000262260437,accuracy,validation
