epoch,value,metric,data
1,0.18966151773929596,loss,training
2,0.17263451218605042,loss,training
3,0.1648695468902588,loss,training
4,0.15389297902584076,loss,training
5,0.1397343873977661,loss,training
6,0.13236601650714874,loss,training
7,0.13006353378295898,loss,training
8,0.12046580016613007,loss,training
9,0.11404571682214737,loss,training
10,0.11224763095378876,loss,training
1,0.5135416388511658,accuracy,training
2,0.5368750095367432,accuracy,training
3,0.5610416531562805,accuracy,training
4,0.5902083516120911,accuracy,training
5,0.6160416603088379,accuracy,training
6,0.6410416960716248,accuracy,training
7,0.6452083587646484,accuracy,training
8,0.6545833349227905,accuracy,training
9,0.6729166507720947,accuracy,training
10,0.6812499761581421,accuracy,training
1,0.13796208798885345,loss,validation
2,0.12070701271295547,loss,validation
3,0.1123938336968422,loss,validation
4,0.10466627776622772,loss,validation
5,0.08647868782281876,loss,validation
6,0.08516699075698853,loss,validation
7,0.09910553693771362,loss,validation
8,0.0790640115737915,loss,validation
9,0.07742619514465332,loss,validation
10,0.0727134495973587,loss,validation
1,0.6558333039283752,accuracy,validation
2,0.6733333468437195,accuracy,validation
3,0.6883333325386047,accuracy,validation
4,0.6858333349227905,accuracy,validation
5,0.7408333420753479,accuracy,validation
6,0.7475000023841858,accuracy,validation
7,0.7116666436195374,accuracy,validation
8,0.7649999856948853,accuracy,validation
9,0.7933333516120911,accuracy,validation
10,0.7799999713897705,accuracy,validation
