epoch,value,metric,data
1,0.29146233201026917,loss,training
2,0.24323982000350952,loss,training
3,0.23291626572608948,loss,training
4,0.21955068409442902,loss,training
5,0.20563887059688568,loss,training
6,0.20303276181221008,loss,training
7,0.19730381667613983,loss,training
8,0.19243699312210083,loss,training
9,0.19020186364650726,loss,training
10,0.18880024552345276,loss,training
11,0.18280793726444244,loss,training
12,0.17992165684700012,loss,training
13,0.17636077105998993,loss,training
14,0.1773608773946762,loss,training
15,0.17369890213012695,loss,training
16,0.17300274968147278,loss,training
17,0.16646327078342438,loss,training
18,0.16825628280639648,loss,training
19,0.16748978197574615,loss,training
20,0.16803987324237823,loss,training
21,0.16543331742286682,loss,training
22,0.16536714136600494,loss,training
23,0.16200758516788483,loss,training
24,0.16010510921478271,loss,training
25,0.1647331565618515,loss,training
26,0.1592136174440384,loss,training
27,0.15984569489955902,loss,training
28,0.15601980686187744,loss,training
29,0.15857866406440735,loss,training
30,0.15746615827083588,loss,training
1,0.3075000047683716,accuracy,training
2,0.3891666531562805,accuracy,training
3,0.42250001430511475,accuracy,training
4,0.4506250023841858,accuracy,training
5,0.47458332777023315,accuracy,training
6,0.4918749928474426,accuracy,training
7,0.49687498807907104,accuracy,training
8,0.5139583349227905,accuracy,training
9,0.5235416889190674,accuracy,training
10,0.5112500190734863,accuracy,training
11,0.5308333039283752,accuracy,training
12,0.5318750143051147,accuracy,training
13,0.53125,accuracy,training
14,0.5410416722297668,accuracy,training
15,0.5481250286102295,accuracy,training
16,0.5545833110809326,accuracy,training
17,0.549791693687439,accuracy,training
18,0.5558333396911621,accuracy,training
19,0.565416693687439,accuracy,training
20,0.5564583539962769,accuracy,training
21,0.5704166889190674,accuracy,training
22,0.56229168176651,accuracy,training
23,0.5720833539962769,accuracy,training
24,0.5662500262260437,accuracy,training
25,0.5587499737739563,accuracy,training
26,0.5704166889190674,accuracy,training
27,0.5662500262260437,accuracy,training
28,0.5808333158493042,accuracy,training
29,0.5820833444595337,accuracy,training
30,0.5716666579246521,accuracy,training
1,0.22686554491519928,loss,validation
2,0.20941175520420074,loss,validation
3,0.18346606194972992,loss,validation
4,0.1778845340013504,loss,validation
5,0.17269748449325562,loss,validation
6,0.15950907766819,loss,validation
7,0.15429925918579102,loss,validation
8,0.14521285891532898,loss,validation
9,0.14508721232414246,loss,validation
10,0.1553792804479599,loss,validation
11,0.14439330995082855,loss,validation
12,0.1348917931318283,loss,validation
13,0.13224729895591736,loss,validation
14,0.13088910281658173,loss,validation
15,0.13561193645000458,loss,validation
16,0.1328563541173935,loss,validation
17,0.1339879035949707,loss,validation
18,0.12598900496959686,loss,validation
19,0.13067887723445892,loss,validation
20,0.1268274486064911,loss,validation
21,0.13179323077201843,loss,validation
22,0.12901873886585236,loss,validation
23,0.12135183066129684,loss,validation
24,0.11955554038286209,loss,validation
25,0.11245586723089218,loss,validation
26,0.12430182099342346,loss,validation
27,0.11465511471033096,loss,validation
28,0.11385715752840042,loss,validation
29,0.11719334870576859,loss,validation
30,0.12384132295846939,loss,validation
1,0.47333332896232605,accuracy,validation
2,0.4858333468437195,accuracy,validation
3,0.5058333277702332,accuracy,validation
4,0.5491666793823242,accuracy,validation
5,0.5366666913032532,accuracy,validation
6,0.5883333086967468,accuracy,validation
7,0.60916668176651,accuracy,validation
8,0.6208333373069763,accuracy,validation
9,0.6050000190734863,accuracy,validation
10,0.565833330154419,accuracy,validation
11,0.6083333492279053,accuracy,validation
12,0.6291666626930237,accuracy,validation
13,0.6266666650772095,accuracy,validation
14,0.6233333349227905,accuracy,validation
15,0.621666669845581,accuracy,validation
16,0.6233333349227905,accuracy,validation
17,0.6399999856948853,accuracy,validation
18,0.6399999856948853,accuracy,validation
19,0.6225000023841858,accuracy,validation
20,0.6299999952316284,accuracy,validation
21,0.6299999952316284,accuracy,validation
22,0.6266666650772095,accuracy,validation
23,0.6583333611488342,accuracy,validation
24,0.6741666793823242,accuracy,validation
25,0.6791666746139526,accuracy,validation
26,0.6449999809265137,accuracy,validation
27,0.6766666769981384,accuracy,validation
28,0.6708333492279053,accuracy,validation
29,0.6666666865348816,accuracy,validation
30,0.6491666436195374,accuracy,validation
