epoch,value,metric,data
1,0.27930596470832825,loss,training
2,0.26992136240005493,loss,training
3,0.26139307022094727,loss,training
4,0.2550789713859558,loss,training
5,0.25103655457496643,loss,training
6,0.2461719959974289,loss,training
7,0.2399883270263672,loss,training
8,0.23924468457698822,loss,training
9,0.2403898686170578,loss,training
10,0.23216822743415833,loss,training
1,0.27937498688697815,accuracy,training
2,0.32333332300186157,accuracy,training
3,0.3245833218097687,accuracy,training
4,0.34937500953674316,accuracy,training
5,0.36020833253860474,accuracy,training
6,0.3660416603088379,accuracy,training
7,0.3777083456516266,accuracy,training
8,0.38187500834465027,accuracy,training
9,0.37166666984558105,accuracy,training
10,0.38187500834465027,accuracy,training
1,0.24469314515590668,loss,validation
2,0.2237430363893509,loss,validation
3,0.20604221522808075,loss,validation
4,0.2054242044687271,loss,validation
5,0.19067567586898804,loss,validation
6,0.17824234068393707,loss,validation
7,0.17712324857711792,loss,validation
8,0.17472586035728455,loss,validation
9,0.1698954850435257,loss,validation
10,0.16517983376979828,loss,validation
1,0.3941666781902313,accuracy,validation
2,0.45916667580604553,accuracy,validation
3,0.48750001192092896,accuracy,validation
4,0.4975000023841858,accuracy,validation
5,0.5425000190734863,accuracy,validation
6,0.5516666769981384,accuracy,validation
7,0.5674999952316284,accuracy,validation
8,0.5791666507720947,accuracy,validation
9,0.5924999713897705,accuracy,validation
10,0.5833333134651184,accuracy,validation
