epoch,value,metric,data
1,0.3298380672931671,loss,training
2,0.29933497309684753,loss,training
3,0.2914365530014038,loss,training
4,0.2830135226249695,loss,training
5,0.2842685580253601,loss,training
6,0.28037530183792114,loss,training
7,0.28010866045951843,loss,training
8,0.27774205803871155,loss,training
9,0.2754952907562256,loss,training
10,0.27360910177230835,loss,training
11,0.2756325602531433,loss,training
12,0.2731783092021942,loss,training
13,0.27269747853279114,loss,training
14,0.27308017015457153,loss,training
15,0.26973578333854675,loss,training
16,0.2693401575088501,loss,training
17,NA,loss,training
18,NA,loss,training
19,NA,loss,training
20,NA,loss,training
21,NA,loss,training
22,NA,loss,training
23,NA,loss,training
24,NA,loss,training
25,NA,loss,training
26,NA,loss,training
27,NA,loss,training
28,NA,loss,training
29,NA,loss,training
30,NA,loss,training
1,0.20499999821186066,accuracy,training
2,0.25,accuracy,training
3,0.25312501192092896,accuracy,training
4,0.27395832538604736,accuracy,training
5,0.26520833373069763,accuracy,training
6,0.2747916579246521,accuracy,training
7,0.2777083218097687,accuracy,training
8,0.27541667222976685,accuracy,training
9,0.2829166650772095,accuracy,training
10,0.2839583456516266,accuracy,training
11,0.2814583480358124,accuracy,training
12,0.2760416567325592,accuracy,training
13,0.28125,accuracy,training
14,0.2814583480358124,accuracy,training
15,0.2945833206176758,accuracy,training
16,0.2927083373069763,accuracy,training
17,NA,accuracy,training
18,NA,accuracy,training
19,NA,accuracy,training
20,NA,accuracy,training
21,NA,accuracy,training
22,NA,accuracy,training
23,NA,accuracy,training
24,NA,accuracy,training
25,NA,accuracy,training
26,NA,accuracy,training
27,NA,accuracy,training
28,NA,accuracy,training
29,NA,accuracy,training
30,NA,accuracy,training
1,0.29341453313827515,loss,validation
2,0.2632472813129425,loss,validation
3,0.26184871792793274,loss,validation
4,0.25345128774642944,loss,validation
5,0.2560291886329651,loss,validation
6,0.2549375295639038,loss,validation
7,0.2424357831478119,loss,validation
8,0.248851016163826,loss,validation
9,0.24544763565063477,loss,validation
10,0.24065090715885162,loss,validation
11,0.23237520456314087,loss,validation
12,0.23899495601654053,loss,validation
13,0.2398209124803543,loss,validation
14,0.2443287968635559,loss,validation
15,0.23320184648036957,loss,validation
16,0.2436162382364273,loss,validation
17,NA,loss,validation
18,NA,loss,validation
19,NA,loss,validation
20,NA,loss,validation
21,NA,loss,validation
22,NA,loss,validation
23,NA,loss,validation
24,NA,loss,validation
25,NA,loss,validation
26,NA,loss,validation
27,NA,loss,validation
28,NA,loss,validation
29,NA,loss,validation
30,NA,loss,validation
1,0.3291666805744171,accuracy,validation
2,0.3766666650772095,accuracy,validation
3,0.36916667222976685,accuracy,validation
4,0.4124999940395355,accuracy,validation
5,0.40583333373069763,accuracy,validation
6,0.414166659116745,accuracy,validation
7,0.41999998688697815,accuracy,validation
8,0.42666667699813843,accuracy,validation
9,0.4074999988079071,accuracy,validation
10,0.4325000047683716,accuracy,validation
11,0.42666667699813843,accuracy,validation
12,0.4308333396911621,accuracy,validation
13,0.41749998927116394,accuracy,validation
14,0.41749998927116394,accuracy,validation
15,0.4350000023841858,accuracy,validation
16,0.4124999940395355,accuracy,validation
17,NA,accuracy,validation
18,NA,accuracy,validation
19,NA,accuracy,validation
20,NA,accuracy,validation
21,NA,accuracy,validation
22,NA,accuracy,validation
23,NA,accuracy,validation
24,NA,accuracy,validation
25,NA,accuracy,validation
26,NA,accuracy,validation
27,NA,accuracy,validation
28,NA,accuracy,validation
29,NA,accuracy,validation
30,NA,accuracy,validation
