epoch,value,metric,data
1,0.32226988673210144,loss,training
2,0.3119024634361267,loss,training
3,0.31138527393341064,loss,training
4,0.3112179934978485,loss,training
5,0.3111637234687805,loss,training
6,0.3111478090286255,loss,training
7,0.3111442029476166,loss,training
8,0.3111342489719391,loss,training
9,0.31113383173942566,loss,training
10,0.3111470937728882,loss,training
1,0.1758333295583725,accuracy,training
2,0.1666666716337204,accuracy,training
3,0.1666666716337204,accuracy,training
4,0.1666666716337204,accuracy,training
5,0.16437500715255737,accuracy,training
6,0.16062499582767487,accuracy,training
7,0.15458333492279053,accuracy,training
8,0.15562500059604645,accuracy,training
9,0.1652083396911621,accuracy,training
10,0.15562500059604645,accuracy,training
1,0.3123239576816559,loss,validation
2,0.3114854097366333,loss,validation
3,0.3111937642097473,loss,validation
4,0.31111055612564087,loss,validation
5,0.3110812306404114,loss,validation
6,0.3110720217227936,loss,validation
7,0.3110714852809906,loss,validation
8,0.3110714554786682,loss,validation
9,0.31107184290885925,loss,validation
10,0.31107255816459656,loss,validation
1,0.1666666716337204,accuracy,validation
2,0.1666666716337204,accuracy,validation
3,0.1666666716337204,accuracy,validation
4,0.1666666716337204,accuracy,validation
5,0.1666666716337204,accuracy,validation
6,0.1666666716337204,accuracy,validation
7,0.1666666716337204,accuracy,validation
8,0.1666666716337204,accuracy,validation
9,0.1666666716337204,accuracy,validation
10,0.16583333909511566,accuracy,validation
