epoch,value,metric,data
1,0.3166336417198181,loss,training
2,0.3078550398349762,loss,training
3,0.30485716462135315,loss,training
4,0.3042636215686798,loss,training
5,0.30262088775634766,loss,training
6,0.30143383145332336,loss,training
7,0.301135778427124,loss,training
8,0.30042070150375366,loss,training
9,0.3003293573856354,loss,training
10,0.30045828223228455,loss,training
11,0.2991776466369629,loss,training
12,0.29896336793899536,loss,training
13,0.298209011554718,loss,training
14,0.2995685040950775,loss,training
15,0.2979402542114258,loss,training
16,0.2991708815097809,loss,training
17,0.2977432906627655,loss,training
18,0.2978474795818329,loss,training
19,0.2981295585632324,loss,training
20,0.29809513688087463,loss,training
21,0.29808172583580017,loss,training
22,0.2969881594181061,loss,training
23,0.29667457938194275,loss,training
24,0.29569756984710693,loss,training
25,0.29584187269210815,loss,training
26,0.2963065803050995,loss,training
27,0.2960488498210907,loss,training
28,0.2947925627231598,loss,training
29,0.294991135597229,loss,training
30,0.29479068517684937,loss,training
1,0.1808333396911621,accuracy,training
2,0.20812499523162842,accuracy,training
3,0.22833333909511566,accuracy,training
4,0.21916666626930237,accuracy,training
5,0.22062499821186066,accuracy,training
6,0.23479166626930237,accuracy,training
7,0.23541666567325592,accuracy,training
8,0.2291666716337204,accuracy,training
9,0.23145833611488342,accuracy,training
10,0.22729167342185974,accuracy,training
11,0.2422916740179062,accuracy,training
12,0.24124999344348907,accuracy,training
13,0.2433333396911621,accuracy,training
14,0.23645833134651184,accuracy,training
15,0.23208333551883698,accuracy,training
16,0.2422916740179062,accuracy,training
17,0.24375000596046448,accuracy,training
18,0.23854166269302368,accuracy,training
19,0.23000000417232513,accuracy,training
20,0.24062499403953552,accuracy,training
21,0.2358333319425583,accuracy,training
22,0.24812500178813934,accuracy,training
23,0.24145832657814026,accuracy,training
24,0.24791666865348816,accuracy,training
25,0.2408333271741867,accuracy,training
26,0.24645833671092987,accuracy,training
27,0.24145832657814026,accuracy,training
28,0.24645833671092987,accuracy,training
29,0.23874999582767487,accuracy,training
30,0.2475000023841858,accuracy,training
1,0.3076203763484955,loss,validation
2,0.30589157342910767,loss,validation
3,0.3031102120876312,loss,validation
4,0.2970302700996399,loss,validation
5,0.29757580161094666,loss,validation
6,0.3017762303352356,loss,validation
7,0.2998819649219513,loss,validation
8,0.29578137397766113,loss,validation
9,0.2996580898761749,loss,validation
10,0.29967111349105835,loss,validation
11,0.295021653175354,loss,validation
12,0.2968597710132599,loss,validation
13,0.2967076599597931,loss,validation
14,0.2959921658039093,loss,validation
15,0.29353898763656616,loss,validation
16,0.29404765367507935,loss,validation
17,0.29495877027511597,loss,validation
18,0.29927679896354675,loss,validation
19,0.29483163356781006,loss,validation
20,0.2926172912120819,loss,validation
21,0.29448914527893066,loss,validation
22,0.2913793623447418,loss,validation
23,0.29243558645248413,loss,validation
24,0.29211369156837463,loss,validation
25,0.290244460105896,loss,validation
26,0.2914271056652069,loss,validation
27,0.2880516052246094,loss,validation
28,0.287878155708313,loss,validation
29,0.2882660925388336,loss,validation
30,0.2881155014038086,loss,validation
1,0.23999999463558197,accuracy,validation
2,0.1525000035762787,accuracy,validation
3,0.2108333259820938,accuracy,validation
4,0.2549999952316284,accuracy,validation
5,0.2475000023841858,accuracy,validation
6,0.2150000035762787,accuracy,validation
7,0.23666666448116302,accuracy,validation
8,0.25583332777023315,accuracy,validation
9,0.23333333432674408,accuracy,validation
10,0.2199999988079071,accuracy,validation
11,0.24500000476837158,accuracy,validation
12,0.2408333271741867,accuracy,validation
13,0.23333333432674408,accuracy,validation
14,0.2516666650772095,accuracy,validation
15,0.24916666746139526,accuracy,validation
16,0.2549999952316284,accuracy,validation
17,0.2358333319425583,accuracy,validation
18,0.22750000655651093,accuracy,validation
19,0.24916666746139526,accuracy,validation
20,0.2383333295583725,accuracy,validation
21,0.24583333730697632,accuracy,validation
22,0.2541666626930237,accuracy,validation
23,0.24666666984558105,accuracy,validation
24,0.2633333206176758,accuracy,validation
25,0.2516666650772095,accuracy,validation
26,0.23916666209697723,accuracy,validation
27,0.26083332300186157,accuracy,validation
28,0.2541666626930237,accuracy,validation
29,0.25083333253860474,accuracy,validation
30,0.2708333432674408,accuracy,validation
